jurisdiccion_id;jurisdiccion_desc;mes_observado;grupo_etario_id;grupo_etario;prestaciones_cantidad;prestaciones_importe
54;Misiones;202012;4;adultos_20a64_años_mujeres;232592;69651470
54;Misiones;202012;5;adultos_20a64_años_hombres;53662;16098325
54;Misiones;202012;6;adultos_mas_65_años;363;510343
58;Neuquén;202012;1;niños_y_niñas_0a5_años;82051;7940310
58;Neuquén;202012;2;niños_y_niñas_6a9_años;7685;1837878
58;Neuquén;202012;3;adolescentes_10a19_años;39121;7430189
58;Neuquén;202012;4;adultos_20a64_años_mujeres;80280;25685807.6
58;Neuquén;202012;5;adultos_20a64_años_hombres;30410;11951526
58;Neuquén;202012;6;adultos_mas_65_años;1482;990796
62;Río Negro;202012;1;niños_y_niñas_0a5_años;33082;9152932
62;Río Negro;202012;2;niños_y_niñas_6a9_años;7292;2793453
62;Río Negro;202012;3;adolescentes_10a19_años;28334;9826796
62;Río Negro;202012;4;adultos_20a64_años_mujeres;118273;43623026
62;Río Negro;202012;5;adultos_20a64_años_hombres;45731;23449638
62;Río Negro;202012;6;adultos_mas_65_años;1063;431005
66;Salta;202012;1;niños_y_niñas_0a5_años;133229;36420450
66;Salta;202012;2;niños_y_niñas_6a9_años;8011;3592975
66;Salta;202012;3;adolescentes_10a19_años;36546;12212589.23
66;Salta;202012;4;adultos_20a64_años_mujeres;100712;38197623.8
66;Salta;202012;5;adultos_20a64_años_hombres;29456;14924455
66;Salta;202012;6;adultos_mas_65_años;370;106575.96
70;San Juan;202012;1;niños_y_niñas_0a5_años;68193;44863492
70;San Juan;202012;2;niños_y_niñas_6a9_años;9737;2714560
70;San Juan;202012;3;adolescentes_10a19_años;43459;15011600
70;San Juan;202012;4;adultos_20a64_años_mujeres;164640;37503419
70;San Juan;202012;5;adultos_20a64_años_hombres;64877;14553917
70;San Juan;202012;6;adultos_mas_65_años;1398;345385
74;San Luis;202012;1;niños_y_niñas_0a5_años;33426;8536870
74;San Luis;202012;2;niños_y_niñas_6a9_años;12673;1620105
74;San Luis;202012;3;adolescentes_10a19_años;38405;5297035
74;San Luis;202012;4;adultos_20a64_años_mujeres;91074;12865475
74;San Luis;202012;5;adultos_20a64_años_hombres;55059;7325190
74;San Luis;202012;6;adultos_mas_65_años;7763;1118880
78;Santa Cruz;202012;1;niños_y_niñas_0a5_años;11155;3969463.7
78;Santa Cruz;202012;2;niños_y_niñas_6a9_años;2546;726646.2
78;Santa Cruz;202012;3;adolescentes_10a19_años;7878;2198825
78;Santa Cruz;202012;4;adultos_20a64_años_mujeres;43957;13202601.32
78;Santa Cruz;202012;5;adultos_20a64_años_hombres;17224;6479104.16
78;Santa Cruz;202012;6;adultos_mas_65_años;302;106765.48
82;Santa Fe;202012;1;niños_y_niñas_0a5_años;202793;37264716
82;Santa Fe;202012;2;niños_y_niñas_6a9_años;12611;3319882
82;Santa Fe;202012;3;adolescentes_10a19_años;65655;20506966
82;Santa Fe;202012;4;adultos_20a64_años_mujeres;212587;88799648
82;Santa Fe;202012;5;adultos_20a64_años_hombres;84885;34989294
82;Santa Fe;202012;6;adultos_mas_65_años;4541;1488972
86;Santiago del Estero;202012;1;niños_y_niñas_0a5_años;139575;37479600
86;Santiago del Estero;202012;2;niños_y_niñas_6a9_años;25359;8500690
86;Santiago del Estero;202012;3;adolescentes_10a19_años;94211;30513400
86;Santiago del Estero;202012;4;adultos_20a64_años_mujeres;173234;50426320
86;Santiago del Estero;202012;5;adultos_20a64_años_hombres;51540;18258486
86;Santiago del Estero;202012;6;adultos_mas_65_años;158;498326
90;Tucumán;202012;1;niños_y_niñas_0a5_años;405178;80431512.8
90;Tucumán;202012;2;niños_y_niñas_6a9_años;33962;6203520
90;Tucumán;202012;3;adolescentes_10a19_años;97646;17336585
90;Tucumán;202012;4;adultos_20a64_años_mujeres;476352;88583539
90;Tucumán;202012;5;adultos_20a64_años_hombres;183549;49040288
90;Tucumán;202012;6;adultos_mas_65_años;1302;1012390
94;Tierra del Fuego;202012;1;niños_y_niñas_0a5_años;1810;326720
94;Tierra del Fuego;202012;2;niños_y_niñas_6a9_años;1183;228590
94;Tierra del Fuego;202012;3;adolescentes_10a19_años;2183;402370
94;Tierra del Fuego;202012;4;adultos_20a64_años_mujeres;7857;2056480
94;Tierra del Fuego;202012;5;adultos_20a64_años_hombres;3272;1505880
94;Tierra del Fuego;202012;6;adultos_mas_65_años;51;10540
